Modelos disponibles (338):
------------------------------------------------------------
  google/gemini-3.1-pro-preview                                | chat         | Google: Gemini 3.1 Pro Preview
  anthropic/claude-sonnet-4.6                                  | chat         | Anthropic: Claude Sonnet 4.6
  qwen/qwen3.5-plus-02-15                                      | chat         | Qwen: Qwen3.5 Plus 2026-02-15
  qwen/qwen3.5-397b-a17b                                       | chat         | Qwen: Qwen3.5 397B A17B
  minimax/minimax-m2.5                                         | chat         | MiniMax: MiniMax M2.5
  z-ai/glm-5                                                   | chat         | Z.ai: GLM 5
  qwen/qwen3-max-thinking                                      | chat         | Qwen: Qwen3 Max Thinking
  openrouter/aurora-alpha                                      | chat         | Aurora Alpha
  anthropic/claude-opus-4.6                                    | chat         | Anthropic: Claude Opus 4.6
  qwen/qwen3-coder-next                                        | chat         | Qwen: Qwen3 Coder Next
  openrouter/free                                              | chat         | Free Models Router
  stepfun/step-3.5-flash:free                                  | chat         | StepFun: Step 3.5 Flash (free)
  stepfun/step-3.5-flash                                       | chat         | StepFun: Step 3.5 Flash
  arcee-ai/trinity-large-preview:free                          | chat         | Arcee AI: Trinity Large Preview (free)
  moonshotai/kimi-k2.5                                         | chat         | MoonshotAI: Kimi K2.5
  upstage/solar-pro-3:free                                     | chat         | Upstage: Solar Pro 3 (free)
  minimax/minimax-m2-her                                       | chat         | MiniMax: MiniMax M2-her
  writer/palmyra-x5                                            | chat         | Writer: Palmyra X5
  liquid/lfm-2.5-1.2b-thinking:free                            | chat         | LiquidAI: LFM2.5-1.2B-Thinking (free)
  liquid/lfm-2.5-1.2b-instruct:free                            | chat         | LiquidAI: LFM2.5-1.2B-Instruct (free)
  openai/gpt-audio                                             | chat         | OpenAI: GPT Audio
  openai/gpt-audio-mini                                        | chat         | OpenAI: GPT Audio Mini
  z-ai/glm-4.7-flash                                           | chat         | Z.ai: GLM 4.7 Flash
  openai/gpt-5.2-codex                                         | chat         | OpenAI: GPT-5.2-Codex
  allenai/molmo-2-8b                                           | chat         | AllenAI: Molmo2 8B
  allenai/olmo-3.1-32b-instruct                                | chat         | AllenAI: Olmo 3.1 32B Instruct
